10000 4
-1.29390 2.32678 0 0.0000000000 0.0000550000   1.000000 0.0347 0.4545
-0.80915 2.25966 0 0.0012649989 -0.0002749998   0.999999 0.4178 0.4391
0.51831 -1.95390 0 -0.0017049971 -0.0007149988   0.999998 0.1240 0.4457
-0.61525 0.62644 0 -0.0009899993 -0.0006049996   0.999999 0.3388 0.4352
0.42881 -1.32000 0 0.0009899995 -0.0002749999   0.999999 0.6988 0.4505
-0.72712 -0.46237 0 -0.0014299976 -0.0011549980   0.999998 0.5101 0.4461
0.97322 1.05153 0 -0.0023649928 0.0007149978   0.999997 0.0713 0.4556
-0.20508 2.05085 0 -0.0014299984 0.0004949994   0.999999 0.2789 0.4506
0.68983 -0.96203 0 -0.0017049971 -0.0007149988   0.999998 0.0313 0.4410
0.92102 -3.13220 0 -0.0007149998 -0.0000550000   1.000000 0.0051 0.4345
0.71220 -0.11932 0 -0.0021449949 0.0003299992   0.999998 0.0371 0.4555
0.59288 -1.29017 0 -0.0015949973 -0.0009349984   0.999998 0.6332 0.4349
1.47288 1.39458 0 0.0008799996 0.0004399998   1.000000 0.0183 0.4370
-3.30000 -4.13898 0 -0.0008249997 0.0002749999   1.000000 0.0044 0.4474
0.00373 0.25356 0 0.0003300000 0.0003300000   1.000000 0.2854 0.4346
-0.64508 3.87051 0 0.0015949979 0.0002749996   0.999999 0.0188 0.4544
0.08576 -0.05220 0 0.0007149998 0.0002749999   1.000000 0.0611 0.4532
-0.57051 -3.07254 0 -0.0017049975 0.0001649998   0.999999 0.0081 0.4471
0.85390 0.59661 0 -0.0019799958 -0.0006049987   0.999998 0.2151 0.4343
0.22000 -0.47729 0 0.0017599972 0.0002199997   0.999998 0.6273 0.4434
0.13051 -0.05966 0 -0.0017599963 -0.0010449978   0.999998 0.0658 0.4461
-0.09322 -0.80542 0 0.0009899994 -0.0003849998   0.999999 0.0883 0.4474
0.30203 1.85695 0 0.0017599971 0.0004399993   0.999998 0.1130 0.4505
0.20508 -2.38644 0 -0.0023649925 -0.0008799972   0.999997 0.3134 0.4419
-0.95085 -0.05966 0 0.0018149970 0.0000549999   0.999998 0.0174 0.4440
0.05593 -2.14034 0 -0.0008799994 -0.0007699995   0.999999 0.5916 0.4436
-0.16034 0.26847 0 0.0018699963 0.0006599987   0.999998 0.3294 0.4385
0.12305 0.41017 0 -0.0009899995 0.0002199999   0.999999 0.8468 0.4548
0.51831 0.67119 0 -0.0003299999 0.0005499999   1.000000 0.2157 0.4378
-0.96576 1.63322 0 -0.0009349995 -0.0003299998   1.000000 0.0629 0.4460
-1.42814 0.49966 0 -0.0007149998 0.0000550000   1.000000 0.0145 0.4443
0.19017 0.41017 0 -0.0009899995 0.0001099999   1.000000 0.8619 0.4546
-0.27220 -1.28271 0 0.0006049999 -0.0000550000   1.000000 0.8498 0.4559
0.91356 2.21492 0 0.0004949999 0.0003299999   1.000000 0.2544 0.4469
0.76441 -3.08000 0 0.0004949999 0.0002200000   1.000000 0.0106 0.4549
1.61458 2.29695 0 0.0017599971 0.0004949992   0.999998 0.0064 0.4455
-0.96576 0.79797 0 -0.0009899995 -0.0001649999   0.999999 0.0245 0.4415
0.67492 -2.22237 0 0.0010449994 -0.0000550000   0.999999 0.5497 0.4496
1.91288 -1.34983 0 -0.0000550000 -0.0008799997   1.000000 0.0049 0.4469
1.77119 -1.41695 0 0.0005499998 0.0004949999   1.000000 0.0068 0.4344
-1.46542 3.87051 0 -0.0014299985 -0.0001649998   0.999999 0.0207 0.4507
-0.92847 0.57424 0 -0.0002750000 -0.0004399999   1.000000 0.3037 0.4383
1.45051 0.49966 0 0.0002750000 -0.0001100000   1.000000 0.0292 0.4373
0.37661 -0.67119 0 0.0011549987 0.0009349990   0.999999 0.1750 0.4336
-1.25661 2.58780 0 0.0011549991 -0.0004949996   0.999999 0.0188 0.4389
0.12305 3.69898 0 -0.0009899992 0.0008249993   0.999999 0.0049 0.4379
